Title,url,Item Description
Cats,https://www.loc.gov/item/2004670356/,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.
[Cat],https://www.loc.gov/item/2005678556/,1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.
[Cats],https://www.loc.gov/item/2016892680/,1 negative : glass ; 4 x 5 in. or smaller
[Cats],https://www.loc.gov/item/2016890324/,1 negative : glass ; 4 x 5 in. or smaller
[Cat],https://www.loc.gov/item/2018662113/,"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2."
[Cat],https://www.loc.gov/item/2018662115/,"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4."
Cat,https://www.loc.gov/item/2003665736/,1 print : col. etching ; 35.3 x 25.3 cm.
"Dandie; the tale of a yellow cat,",https://www.loc.gov/item/25009935/,Also available in digital form.
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",https://www.loc.gov/item/agr03000916/,Also available in digital form.
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",https://www.loc.gov/item/10002159/,Also available in digital form.
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",https://www.loc.gov/item/agr16000378/,Also available in digital form.
"Pussy and her language,",https://www.loc.gov/item/04029271/,Also available in digital form.
John B. Moisant,https://www.loc.gov/item/2004671743/,"1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)"
The nomad of the nine lives,https://www.loc.gov/item/14000113/,Also available in digital form on the Library of Congress Web site.
Cat show,https://www.loc.gov/item/2016721953/,"28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people..."
The Cat,https://www.loc.gov/item/90710537/,1 photomechanical print : photogravure.
[A cat],https://www.loc.gov/item/2010718352/,1 drawing : pencil.
Domestic cat,https://www.loc.gov/item/2009630098/,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left."
[Two cats],https://www.loc.gov/item/94509814/,1 print (poster) : color.
Black cat,https://www.loc.gov/item/2017658972/,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.
[Domestic cat],https://www.loc.gov/item/2009630118/,"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)"
"""Nervous Cats""",https://www.loc.gov/item/2012631796/,1 drawing.
Fat cat,https://www.loc.gov/item/2012633951/,1 drawing.
"Poem 061:
        

        
            
                
                    
                    Sister Cat",https://www.loc.gov/item/poetry-180-061/sister-cat/,
"Poem 116:
        

        
            
                
                    
                    Cat Scat",https://www.loc.gov/item/poetry-180-116/cat-scat/,
Nashville Cats!,https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]"
"Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",//lccn.loc.gov/2016218557,No data listed
"""Cat"" Hat",https://www.loc.gov/item/ncr002272/,No data listed
Cat song,https://www.loc.gov/item/ihas.100008567/,sheet music | 1 score | Sheet Music (Form).
Cat song,https://www.loc.gov/item/ihas.100009959/,sheet music | 1 score | Sheet Music (Form).
Whose Cat,https://www.loc.gov/item/musftpphotoprints.200223581/,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,..."
Cat family,https://www.loc.gov/item/2003689307/,1 print.
"""Naughty cat!""",https://www.loc.gov/item/2002710641/,1 print : lithograph.
Emmons cat,https://www.loc.gov/item/2016694116/,1 negative : glass ; 5 x 7 in.
Emmons cat,https://www.loc.gov/item/2016694117/,1 negative : glass ; 5 x 7 in.
Emmons cat,https://www.loc.gov/item/2016694119/,1 negative : glass ; 5 x 7 in.
Emmons [cat],https://www.loc.gov/item/2016694121/,1 negative : glass ; 5 x 7 in.
Miscellaneous [cat],https://www.loc.gov/item/2016712990/,1 negative : glass ; 5 x 7 in.
Miscellaneous [cat],https://www.loc.gov/item/2016712994/,1 negative : glass ; 5 x 7 in.
Miscellaneous [cat],https://www.loc.gov/item/2016712995/,1 negative : glass ; 5 x 7 in.
Pussy cats,https://www.loc.gov/item/2016732576/,Notated Music. From: Airs and graces. Staff notation. (Language).
Calamity cat,https://www.loc.gov/item/2006691519/,"1 print : etching, aquatint, and mezzotint ; 20 x 13 cm."
Cat's cradle,https://www.loc.gov/item/2002719209/,"1 print : serigraph, col."
