Contributor,year
"
                        Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894
                        ",1942
"
                        Andō, Hiroshige
                        ",1942
"
                        Harris & Ewing
                        ",1942
"
                        Harris & Ewing
                        ",1942
: 1569,1942
: 1569,1942
"
                        Goldstein, Milton
                        ",1942
"
                        Hungerford, Florence
                        ",1942
"
                        Huidekoper, Rush Shippen
                        ",1942
"
                        Champion, Dorothy Bevill
                        ",1942
"
                        Forbush, Edward Howe
                        ",1942
"
                        Grimaldi, Alphonse Leon - Clark, Marvin R.
                        ",1942
: 1911,1942
"
                        Friebe, A. Frances (Abby Frances) - Atwood, Clara R.
                        ",1942
"
                        Brooks, Charlotte
                        ",1942
"
                        Eugene, Frank
                        ",1942
"
                        Stephens, Alice Barber
                        ",1942
: 1878,1942
"
                        Steinlen, Théophile Alexandre
                        ",1942
"
                        American Merri-Lei Corporation
                        ",1942
: 1878,1942
"
                        Block, Herbert
                        ",1942
"
                        Block, Herbert
                        ",1942
"
                        Mayes, Frances
                        ",1942
"
                        Grennan, Eamon
                        ",1942
"
                        Dell Jenkins, Mary
                        ",1942
"
                        Small Press Expo Collection (Library of Congress) - Wong, Ken
                        ",1942
"
                        Harrell, Alfred
                        ",1942
"
                        Pugsley, L. E. - J. C. Groene & Co.
                        ",1942
"
                        Williams, Gus - T. B. Harms & Co.
                        ",1942
No data listed,1942
: 1870,1942
"
                        Currier & Ives
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        Monckton, Lionel
                        ",1942
"
                        College Women's Association of Japan - Yoneoka, Setsuko
                        ",1942
"
                        Shahn, Ben
                        ",1942
"
                        Barnard, Charles - Mollenhauer, Edward
                        ",1942
"
                        Barnet, Will
                        ",1942
"
                        Eichenberg, Fritz
                        ",1942
"
                        C.M. Bell (Firm : Washington, D.C.)
                        ",1942
"
                        Culp, William Maurice
                        ",1942
"
                        Hurcum, Ambrosina
                        ",1942
"
                        Walker, Elliot
                        ",1942
: 1895,1942
: 1893,1942
"
                        L. Prang & Co.
                        ",1942
"
                        Beardsley, Aubrey
                        ",1942
"
                        Anderson, Alexander
                        ",1942
"
                        Ronner, Henriette - Schaus, W. (William)
                        ",1942
: 1890,1942
: 1800,1942
"
                        Brodtmann, Joseph - Mind, Gottfried
                        ",1942
: 1905,1942
"
                        Stephens, Alice Barber
                        ",1942
"
                        Stephens, Alice Barber
                        ",1942
"
                        Hyde, Helen
                        ",1942
"
                        Lyman, Frank
                        ",1942
"
                        Gotfryd, Bernard
                        ",1942
"
                        Gotfryd, Bernard
                        ",1942
"
                        Gotfryd, Bernard
                        ",1942
"
                        Gotfryd, Bernard
                        ",1942
"
                        Genthe, Arnold
                        ",1942
"
                        Genthe, Arnold
                        ",1942
"
                        Steig, William
                        ",1942
"
                        Pryor, Karen
                        ",1942
"
                        Lambert, Louis-Eugene - Glover, L. S. (Lycurgus S.) - Detroit Publishing Co.
                        ",1942
"
                        Lambert, Lewis Eugene - Detroit Publishing Co.
                        ",1942
"
                        Lomax, Alan
                        ",1942
"
                        Lomax, Alan
                        ",1942
: 1901,1942
"
                        Shepherd, Jessie
                        ",1942
"
                        Hill, John Woodroffe
                        ",1942
"
                        National Veterans History Archival Institute (Nvhai) - Cates, Roger Benfield - Milidonis, Dave
                        ",1942
"
                        Leblanc, William - Cates, Raymond Louis - Boy Scouts of America
                        ",1942
"
                        Lewis, Robert - Cates, Elwyn R. - Tyler Junior College - Rucker, Bobbye
                        ",1942
"
                        Banit, Thomas - Lautenberg, Frank - U.S. Senate/Frank Lautenberg - Cates, Elliott
                        ",1942
"
                        Kelly, Thomas - Kelly, Thomas, Active
                        ",1942
"
                        Vergara, Camilo J.
                        ",1942
"
                        Genthe, Arnold
                        ",1942
"
                        Tachibana, Morikuni
                        ",1942
"
                        Rizzuto, Angelo
                        ",1942
"
                        Cates, Robert Vernon - Pedroza, Denise - Atria Senior Living, San Juan Capistrano, California
                        ",1942
"
                        Thomas L. Morgan
                        ",1942
"
                        Nankivell, Frank A. (Frank Arthur) - Nankivell, Frank A.
                        ",1942
"
                        Wain, Louis - Detroit Publishing Co.
                        ",1942
"
                        Wain, Louis - Detroit Publishing Co.
                        ",1942
"
                        Rizzuto, Angelo
                        ",1942
"
                        Block, Herbert
                        ",1942
"
                        Block, Herbert
                        ",1942
"
                        Cadorette, Paul
                        ",1942
"
                        Prentice, Amy - Davis, J. Watson
                        ",1942
: 1885,1942
"
                        Spaulding, Roy Henry
                        ",1942
"
                        Childs & Inman - Fenderich, Charles
                        ",1942
"
                        H.S. Crocker & Co.
                        ",1942
: 1934,1942
"
                        Brodtmann, Joseph - Mind, Gottfried
                        ",1942
No data listed,1942
"
                        Ōishi, Takao
                        ",1942
"
                        Korab, Balthazar
                        ",1942
